dateTime,luminance,voltage,raw
2020-03-09 00:21:57.702450,23.58,0.06,12
2020-03-09 00:22:04.680168,23.58,0.06,12
2020-03-09 00:22:11.641990,25.29,0.06,13
2020-03-09 00:22:18.619633,23.58,0.06,12
2020-03-09 00:22:25.597693,20.17,0.05,10
2020-03-09 00:22:32.575236,23.58,0.06,12
2020-03-09 00:22:39.553031,23.58,0.06,12
2020-03-09 00:22:46.530690,25.29,0.06,13
2020-03-09 00:22:53.492607,21.88,0.05,11
2020-03-09 00:23:00.470277,23.58,0.06,12
2020-03-09 00:23:07.447943,23.58,0.06,12
2020-03-09 00:23:14.409764,23.58,0.06,12
2020-03-09 00:23:21.387454,23.58,0.06,12
2020-03-09 00:23:28.349168,23.58,0.06,12
2020-03-09 00:23:35.326893,25.29,0.06,13
2020-03-09 00:23:42.304618,23.58,0.06,12
2020-03-09 00:23:49.282351,25.29,0.06,13
2020-03-09 00:23:56.244154,25.29,0.06,13
2020-03-09 00:24:03.221886,23.58,0.06,12
2020-03-09 00:24:10.183728,25.29,0.06,13
2020-03-09 00:24:17.161452,23.58,0.06,12
2020-03-09 00:24:24.139128,25.29,0.06,13
2020-03-09 00:24:31.116882,21.88,0.05,11
2020-03-09 00:24:38.078814,23.58,0.06,12
2020-03-09 00:24:45.056449,25.29,0.06,13
2020-03-09 00:24:52.018332,23.58,0.06,12
2020-03-09 00:24:58.996152,1.01,0.00,0
2020-03-09 00:25:05.973798,21.88,0.05,11
2020-03-09 00:25:12.951497,23.58,0.06,12
2020-03-09 00:25:19.929232,25.29,0.06,13
2020-03-09 00:25:26.890998,23.58,0.06,12
