dateTime,temperature,violetPre,bluePre,greenPre,yellowPre,orangePre,redPre,violetCalibrated,blueCalibrated,greenCalibrated,yellowCalibrated,orangeCalibrated,redCalibrated
2020-03-09 00:21:58.662648,26,4,7,11,13,12,13,4.56,8.36,11.56,11.81,11.45,10.94
2020-03-09 00:22:05.624453,26,4,7,11,13,13,13,4.56,8.36,11.56,11.81,12.41,10.94
2020-03-09 00:22:12.602229,26,4,7,11,13,13,13,4.56,8.36,11.56,11.81,12.41,10.94
2020-03-09 00:22:19.579971,26,4,7,11,13,12,13,4.56,8.36,11.56,11.81,11.45,10.94
2020-03-09 00:22:26.557676,27,18,18,4,4,4,5,20.53,21.50,4.21,3.64,3.82,4.21
2020-03-09 00:22:33.535581,26,4,6,10,12,11,12,4.56,7.17,10.51,10.91,10.50,10.10
2020-03-09 00:22:40.513162,26,4,6,10,11,11,12,4.56,7.17,10.51,10.00,10.50,10.10
2020-03-09 00:22:47.475090,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:22:54.452803,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:01.430548,26,4,7,11,12,12,13,4.56,8.36,11.56,10.91,11.45,10.94
2020-03-09 00:23:08.392215,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:15.369973,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:22.331740,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:29.309422,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:36.287110,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:43.264881,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:50.226629,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:23:57.204378,26,4,6,10,12,11,12,4.56,7.17,10.51,10.91,10.50,10.10
2020-03-09 00:24:04.182116,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:24:11.143945,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:24:18.121708,26,4,6,10,12,11,12,4.56,7.17,10.51,10.91,10.50,10.10
2020-03-09 00:24:25.099407,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:24:32.061242,26,4,6,10,12,11,12,4.56,7.17,10.51,10.91,10.50,10.10
2020-03-09 00:24:39.039039,26,4,6,10,12,12,12,4.56,7.17,10.51,10.91,11.45,10.10
2020-03-09 00:24:46.000851,26,4,7,12,13,11,12,4.56,8.36,12.62,11.81,10.50,10.10
2020-03-09 00:24:52.979400,26,4,7,11,13,11,12,4.56,8.36,11.56,11.81,10.50,10.10
2020-03-09 00:24:59.940351,26,2,2,3,2,3,3,2.28,2.39,3.15,1.82,2.86,2.52
2020-03-09 00:25:06.934159,26,4,7,12,14,13,13,4.56,8.36,12.62,12.72,12.41,10.94
2020-03-09 00:25:13.911738,26,4,8,13,15,13,14,4.56,9.55,13.67,13.63,12.41,11.78
2020-03-09 00:25:20.873693,26,4,8,13,14,13,14,4.56,9.55,13.67,12.72,12.41,11.78
2020-03-09 00:25:27.851120,26,4,8,13,15,13,14,4.56,9.55,13.67,13.63,12.41,11.78
