dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2020-03-09 00:04:14.527266,0.10,0.00,4.60,153.01,2006125.60,408474.88,750.76,0.78
2020-03-09 00:04:19.536257,0.10,0.00,1340.80,57.32,456449.09,116206.80,994104970000.00,4547.96
2020-03-09 00:04:24.561144,0.10,0.00,4.62,182.46,2615912.30,511723.09,764.22,0.79
2020-03-09 00:04:29.602077,0.11,0.00,4.60,153.01,2006125.60,408474.88,750.76,0.78
2020-03-09 00:04:34.627108,0.11,0.00,4.62,182.46,2615912.30,511723.09,764.22,0.79
2020-03-09 00:04:39.667944,0.11,0.00,4.57,130.49,1577948.40,333146.13,737.59,0.78
2020-03-09 00:04:44.692929,0.11,0.00,4.60,130.49,1577948.40,333146.13,750.76,0.78
2020-03-09 00:04:49.733835,0.11,0.00,4.62,153.01,2006125.60,408474.88,764.22,0.79
2020-03-09 00:04:54.758713,0.11,0.00,4.57,130.49,1577948.40,333146.13,737.59,0.78
2020-03-09 00:04:59.799604,0.11,0.00,4.62,130.49,1577948.40,333146.13,764.22,0.79
2020-03-09 00:05:04.841446,0.11,0.00,1340.80,52.37,398340.44,103518.55,994104970000.00,4547.96
2020-03-09 00:13:57.930120,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:14:02.923048,0.11,0.00,4.60,63.06,527122.94,131315.61,750.76,0.78
2020-03-09 00:14:07.963900,0.11,0.00,4.62,69.78,614078.38,149492.97,764.22,0.79
2020-03-09 00:14:13.020755,0.11,0.00,3042.85,35.45,221175.64,62814.82,20631830000000.00,15892.86
2020-03-09 00:14:18.029556,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:14:23.070485,0.11,0.00,1340.80,35.45,221175.64,62814.82,994104970000.00,4547.96
2020-03-09 00:14:28.095258,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:14:33.120067,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:14:38.160948,0.11,0.00,4.62,69.78,614078.38,149492.97,764.22,0.79
2020-03-09 00:14:43.185790,0.11,0.00,4.57,69.78,614078.38,149492.97,737.59,0.78
2020-03-09 00:14:48.226445,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:14:53.267199,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:14:58.308206,0.11,0.00,3042.85,35.45,221175.64,62814.82,20631830000000.00,15892.86
2020-03-09 00:15:03.332941,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.79
2020-03-09 00:15:08.374077,0.11,0.00,3042.85,38.06,246198.86,68799.63,20631830000000.00,15892.86
2020-03-09 00:15:13.398649,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.79
2020-03-09 00:15:18.423854,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:15:23.448456,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.79
2020-03-09 00:15:28.489267,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:15:33.530056,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:15:38.555085,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:15:43.611919,0.11,0.00,3042.85,38.06,246198.86,68799.63,20631830000000.00,15892.86
2020-03-09 00:15:48.620641,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:15:53.677452,0.11,0.00,3042.85,38.06,246198.86,68799.63,20631830000000.00,15892.86
2020-03-09 00:15:58.686377,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:16:03.727374,0.11,0.00,4.57,77.72,722467.31,171617.34,737.59,0.78
2020-03-09 00:16:08.752059,0.11,0.00,4.60,87.22,859579.13,198902.34,750.76,0.78
2020-03-09 00:16:13.777016,0.11,0.00,4.57,77.72,722467.31,171617.34,737.59,0.78
2020-03-09 00:16:18.817791,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:16:23.858496,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.79
2020-03-09 00:16:28.899623,0.11,0.00,3042.85,38.06,246198.86,68799.63,20631830000000.00,15892.86
2020-03-09 00:16:33.924139,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:16:38.965164,0.11,0.00,3042.85,38.06,246198.86,68799.63,20631830000000.00,15892.86
2020-03-09 00:16:43.989875,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.79
2020-03-09 00:16:49.014863,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:16:54.055624,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.78
2020-03-09 00:16:59.080548,0.11,0.00,4.57,77.72,722467.31,171617.34,737.59,0.78
2020-03-09 00:17:04.105297,0.11,0.00,4.57,69.78,614078.38,149492.97,764.22,0.79
2020-03-09 00:17:09.146055,0.11,0.00,4.62,87.22,859579.13,198902.34,737.59,0.78
2020-03-09 00:17:14.186994,0.11,0.00,3042.85,38.06,246198.86,68799.63,764.22,0.79
2020-03-09 00:17:19.227851,0.11,0.00,4.62,87.22,859579.13,198902.34,994104970000.00,4547.96
2020-03-09 00:17:24.252739,0.11,0.00,3042.85,38.06,246198.86,171617.34,764.22,0.79
2020-03-09 00:17:29.277584,0.11,0.00,4.62,77.72,722467.31,171617.34,737.59,0.78
2020-03-09 00:17:34.318385,0.11,0.00,4.57,77.72,722467.31,198902.34,764.22,0.79
2020-03-09 00:17:39.343276,0.11,0.00,4.62,87.22,722467.31,171617.34,750.76,0.78
2020-03-09 00:17:44.368167,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:17:49.408908,0.11,0.00,4.57,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:17:54.433855,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:17:59.474503,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:18:04.515334,0.11,0.00,3042.85,38.06,246198.86,68799.63,20631830000000.00,15892.86
2020-03-09 00:18:09.539991,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:18:14.564822,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:18:19.605672,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:18:24.630634,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:18:29.671402,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:18:34.696267,0.11,0.00,4.62,87.22,859579.13,198902.34,764.22,0.79
2020-03-09 00:18:39.736930,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:18:44.765262,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.79
2020-03-09 00:18:49.818531,0.11,0.00,3042.85,38.06,246198.86,68799.63,20631830000000.00,15892.86
2020-03-09 00:18:54.843375,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:18:59.868143,0.11,0.00,4.55,69.78,614078.38,149492.97,724.70,0.77
2020-03-09 00:19:04.908856,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:19:09.933826,0.11,0.00,4.55,69.78,614078.38,149492.97,724.70,0.77
2020-03-09 00:19:14.958755,0.11,0.00,4.62,77.72,722467.31,171617.34,764.22,0.79
2020-03-09 00:19:19.999516,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:19:25.040345,0.11,0.00,4.57,69.78,614078.38,149492.97,737.59,0.78
2020-03-09 00:19:30.065323,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:19:35.106179,0.11,0.00,830.65,35.45,221175.64,62814.82,169009090000.00,2189.49
2020-03-09 00:19:40.130992,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:19:45.171717,0.11,0.00,4.53,69.78,614078.38,149492.97,712.09,0.77
2020-03-09 00:19:50.196824,0.11,0.00,4.57,69.78,614078.38,149492.97,737.59,0.78
2020-03-09 00:19:55.237618,0.11,0.00,4.55,69.78,614078.38,149492.97,724.70,0.77
2020-03-09 00:20:00.262452,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:20:05.303292,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:20:10.328043,0.11,0.00,4.57,63.06,527122.94,131315.61,737.59,0.78
2020-03-09 00:20:15.352734,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:20:20.409317,0.11,0.00,1340.80,35.45,221175.64,62814.82,994104970000.00,4547.96
2020-03-09 00:20:25.434196,0.11,0.00,4.62,69.78,614078.38,149492.97,764.22,0.79
2020-03-09 00:20:30.459330,0.11,0.00,4.55,63.06,527122.94,131315.61,724.70,0.77
2020-03-09 00:20:35.483942,0.11,0.00,4.57,69.78,614078.38,149492.97,737.59,0.78
2020-03-09 00:20:40.524580,0.11,0.00,4.57,69.78,614078.38,149492.97,737.59,0.78
2020-03-09 00:20:45.549540,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:20:50.590074,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:20:55.615035,0.11,0.00,4.57,63.06,527122.94,131315.61,737.59,0.78
2020-03-09 00:21:00.655725,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
